time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1561001065.78468776,0.02125172,4439,0.00757305,0.00000000,0,0.00000000,247451,248002,935,0.00000000
1561001065.88623142,0.01820052,4431,0.00512441,0.00000000,0,0.00000000,248002,248556,918,0.00345533
1561001065.98597217,0.02313474,4388,0.00377022,0.00000000,0,0.00000000,248556,249103,920,0.00000000
1561001066.08407807,0.02009311,4406,0.00392374,0.00000000,0,0.00000000,249103,249559,909,0.00179259
1561001066.18568039,0.01684756,4395,0.00302237,0.00000000,0,0.00000000,249160,249726,906,0.00000000
1561001066.28420901,0.02208698,4376,0.00715263,0.00000000,0,0.00000000,249726,250212,923,0.00562551
1561001066.38586783,0.01946472,4351,0.00470820,0.00000000,0,0.00000000,250212,250738,940,0.00000000
1561001066.48752594,0.02207073,4334,0.00564168,0.00000000,0,0.00000000,250738,251121,911,0.00583160
1561001066.58724737,0.02821681,4282,0.00257282,0.00000000,0,0.00000000,251121,251601,921,0.00000000
1561001066.68866539,0.02095232,4322,0.00358983,0.00000000,0,0.00000000,251601,252141,964,0.00640447
1561001066.78729963,0.02253770,4287,0.00359316,0.00000000,0,0.00000000,252141,252618,991,0.00000000
1561001066.88862014,0.01537589,4252,0.00240460,0.00000000,0,0.00000000,252618,253019,922,0.00235756
1561001066.98861003,0.01944630,4271,0.00372575,0.00000000,0,0.00000000,253019,253472,942,0.00000000
1561001067.08707380,0.02020570,4254,0.00582718,0.00000000,0,0.00000000,253472,253751,948,0.00224278
1561001067.18836975,0.02068590,4269,0.00504512,0.00000000,0,0.00000000,253751,254247,966,0.00000000
1561001067.28665590,0.01832381,4285,0.00506229,0.00000000,0,0.00000000,254247,254735,993,0.00353984
1561001067.38800168,0.02195719,4266,0.00536350,0.00000000,0,0.00000000,254735,255239,930,0.00000000
1561001067.48837662,0.02232106,4239,0.00646485,0.00000000,0,0.00000000,255239,255741,992,0.00320204
1561001067.58682752,0.01677203,4311,0.00263474,0.00000000,0,0.00000000,255741,256192,990,0.00000000
1561001067.68838072,0.01549981,4257,0.00315066,0.00000000,0,0.00000000,256192,256596,964,0.00187859
1561001067.78702211,0.02000933,4314,0.00495262,0.00000000,0,0.00000000,256596,257067,1025,0.00000000
1561001067.88844705,0.01757163,4389,0.00470745,0.00000000,0,0.00000000,257067,257494,1021,0.00171687
1561001067.98837876,0.02442933,4310,0.00593517,0.00000000,0,0.00000000,257494,257953,943,0.00000000
1561001068.08831978,0.02547740,4339,0.00428266,0.00000000,0,0.00000000,257953,258322,978,0.00226395
1561001068.18848419,0.01957895,4315,0.00604523,0.00000000,0,0.00000000,258322,258736,976,0.00000000
1561001068.28707075,0.01608180,4322,0.00288426,0.00000000,0,0.00000000,258736,259251,963,0.00562873
1561001068.38997626,0.01679757,4240,0.00276625,0.00000000,0,0.00000000,259251,259721,972,0.00000000
1561001068.48977995,0.01461285,4137,0.00258299,0.00000000,0,0.00000000,259721,260157,959,0.00207482
1561001068.58854175,0.02451427,4130,0.00481251,0.00000000,0,0.00000000,260157,260559,971,0.00000000
1561001068.68991423,0.01664913,4153,0.00341546,0.00000000,0,0.00000000,260559,260962,969,0.00437619
1561001068.78871727,0.03013008,4182,0.00587893,0.00000000,0,0.00000000,260962,261345,958,0.00000000
1561001068.89014173,0.03964671,4237,0.00641359,0.00000000,0,0.00000000,150881,153616,2910,0.00181287
1561001068.98880744,0.01939133,4252,0.00646118,0.00000000,0,0.00000000,153616,155825,2746,0.00000000
1561001069.08942819,0.02047595,4238,0.00567881,0.00000000,0,0.00000000,155825,157501,2314,0.00591929
1561001069.19001150,0.01877371,4178,0.00588836,0.00000000,0,0.00000000,157501,158689,2055,0.00000000
1561001069.28875875,0.01680445,4253,0.00438383,0.00000000,0,0.00000000,158689,160015,2015,0.00211820
1561001069.39018893,0.02213659,4299,0.00702974,0.00000000,0,0.00000000,160015,161108,1854,0.00000000
1561001069.49141216,0.02196749,4326,0.00713180,0.00000000,0,0.00000000,161108,162180,1816,0.00344584
1561001069.59025478,0.01770926,4358,0.00560222,0.00000000,0,0.00000000,162180,163181,1741,0.00000000
1561001069.69144845,0.02070689,4280,0.00779630,0.00000000,0,0.00000000,163181,163909,1655,0.00208832
1561001069.79037547,0.01783700,4356,0.00504752,0.00000000,0,0.00000000,163909,164708,1631,0.00000000
1561001069.89155555,0.01755373,4421,0.00502182,0.00000000,0,0.00000000,164708,165437,1611,0.00196042
1561001069.99138570,0.01998027,4393,0.00440907,0.00000000,0,0.00000000,165437,166166,1452,0.00000000
1561001070.09135032,0.01716376,4531,0.00378064,0.00000000,0,0.00000000,166166,167009,1609,0.00247803
1561001070.19123816,0.01592836,4516,0.00390318,0.00000000,0,0.00000000,167009,167797,1540,0.00000000
1561001070.28992891,0.01881775,4551,0.00505859,0.00000000,0,0.00000000,167797,168569,1510,0.00362118
1561001070.39247322,0.02302732,4602,0.00815144,0.00000000,0,0.00000000,168569,169158,1453,0.00000000
1561001070.48193908,0.02394902,4661,0.00753472,0.00000000,0,0.00000000,168979,169307,1480,0.00402028
1561001070.58305931,0.05506797,4695,0.02719705,0.00000000,0,0.00000000,169307,176731,1466,0.00000000
1561001070.68308926,0.02835195,4750,0.00674055,0.00000000,0,0.00000000,176722,177280,1465,0.00487232
1561001070.78221750,0.02748108,4733,0.00795413,0.00000000,0,0.00000000,177280,177665,1424,0.00000000
1561001070.88318801,0.02148534,4794,0.00399226,0.00000000,0,0.00000000,177665,178449,1480,0.00345337
1561001070.98318315,0.02405697,4857,0.00480925,0.00000000,0,0.00000000,178449,179291,1516,0.00000000
1561001071.08299899,0.02177385,4852,0.00548226,0.00000000,0,0.00000000,179291,179836,1482,0.00472841
1561001071.18308377,0.02386549,4870,0.00578749,0.00000000,0,0.00000000,179836,180643,1451,0.00000000
1561001071.28213286,0.01781751,4881,0.00442409,0.00000000,0,0.00000000,180643,181131,1437,0.00809061
1561001071.38342285,0.02697793,4923,0.00483303,0.00000000,0,0.00000000,181131,181945,1460,0.00000000
1561001071.48348308,0.02060897,4896,0.00560533,0.00000000,0,0.00000000,181945,182629,1384,0.00282242
1561001071.58364677,0.02130230,4915,0.00422244,0.00000000,0,0.00000000,182629,183235,1451,0.00000000
1561001071.68347073,0.01998439,4886,0.00442411,0.00000000,0,0.00000000,183235,183912,1342,0.00347636
1561001071.78224945,0.02014218,4869,0.00313715,0.00000000,0,0.00000000,183258,184083,1287,0.00000000
1561001071.88324714,0.01789633,4907,0.00488717,0.00000000,0,0.00000000,184083,184574,1309,0.00192261
1561001071.98328137,0.02831313,4869,0.00700369,0.00000000,0,0.00000000,184574,185116,1292,0.00000000
1561001072.08323026,0.02452063,4807,0.00447177,0.00000000,0,0.00000000,185116,185878,1291,0.00628420
1561001072.18319631,0.03301245,4870,0.00504110,0.00000000,0,0.00000000,185878,186519,1258,0.00000000
1561001072.28328156,0.02961978,4861,0.00608168,0.00000000,0,0.00000000,186519,186879,1301,0.00623252
1561001072.38330674,0.02367062,4873,0.00546982,0.00000000,0,0.00000000,186879,187376,1290,0.00000000
